Census Year,SGC,Region,Immigrants,Emigrants,Returning Emigrants,Net Temporary Emigrants,Net Non-permanent Residents,Net International,Interprovincial In,Interprovincial Out,Net Interprovincial,Intraprovincial In,Intraprovincial Out,Net Intraprovincial,Net Total Migration
2008-2009,5931,Squamish-Lillooet,268,89,68,47,706,906,867,345,522,1356,1669,-313,1115
2008-2009,5933,Thompson-Nicola,246,136,75,68,268,385,1594,1606,-12,4113,3837,276,649
2008-2009,5935,Central Okanagan,545,304,174,157,513,771,3736,2521,1215,5088,4048,1040,3026
2008-2009,5937,North Okanagan,143,84,50,44,61,126,1144,1008,136,2527,2411,116,378
2008-2009,5939,Columbia-Shuswap,88,63,27,33,58,77,985,809,176,1737,1760,-23,230
2008-2009,5941,Cariboo,64,52,15,26,15,16,479,721,-242,2061,2554,-493,-719
2008-2009,5943,Mount Waddington,25,6,2,4,-6,11,102,115,-13,414,641,-227,-229
2008-2009,5945,Central Coast,1,2,0,2,1,-2,32,16,16,166,188,-22,-8
2008-2009,5947,Skeena-Queen Charlotte,42,6,7,2,-17,24,143,157,-14,655,850,-195,-185
2008-2009,5949,Kitimat-Stikine,57,29,25,14,30,69,444,463,-19,1130,1345,-215,-165
2008-2009,5951,Bulkley-Nechako,57,11,29,5,13,83,333,493,-160,1170,1740,-570,-647
2008-2009,5953,Fraser-Fort George,164,80,30,41,106,179,914,1621,-707,2662,3703,-1041,-1569
2008-2009,5955,Peace River,93,54,14,28,99,124,1256,1493,-237,1634,1609,25,-88
2008-2009,5957,Stikine,4,0,0,0,-8,-4,12,26,-14,44,35,9,-9
2008-2009,5959,Northern Rockies,14,1,0,1,11,23,169,272,-103,254,279,-25,-105
2009-2010,5900,British Columbia,43871,11589,5913,5799,11174,43570,49469,40741,8728,81289,81289,0,52298
2009-2010,5901,East Kootenay,162,53,32,26,66,181,1296,1260,36,995,1118,-123,94
2009-2010,5903,Central Kootenay,243,47,46,24,9,227,975,785,190,1509,1553,-44,373
2009-2010,5905,Kootenay Boundary,64,17,18,7,-10,48,405,361,44,963,915,48,140
2009-2010,5907,Okanagan-Similkameen,212,126,60,63,-52,31,1193,912,281,2480,2611,-131,181
2009-2010,5909,Fraser Valley,1576,346,169,175,192,1416,2398,2360,38,9168,7780,1388,2842
2009-2010,5915,Greater Vancouver,36850,8906,4270,4460,10467,38221,20004,16465,3539,18714,20535,-1821,39939
2009-2010,5917,Capital,1684,769,464,386,64,1057,6224,3852,2372,8208,6847,1361,4790
2009-2010,5919,Cowichan Valley,164,116,77,58,-20,47,895,630,265,3200,3026,174,486
2009-2010,5921,Nanaimo,371,141,140,70,39,339,2187,1470,717,5209,4273,936,1992
2009-2010,5923,Alberni-Clayoquot,40,17,29,9,30,73,270,199,71,1037,1102,-65,79
2009-2010,5924,Strathcona,63,80,47,40,8,-2,735,606,129,1334,1354,-20,107
2009-2010,5926,Comox Valley,118,113,68,56,29,46,1036,857,179,1885,1913,-28,197
2009-2010,5927,Powell River,39,7,7,3,3,39,180,140,40,606,620,-14,65
2009-2010,5929,Sunshine Coast,83,17,13,7,19,91,225,199,26,1188,1016,172,289
2009-2010,5931,Squamish-Lillooet,345,78,48,39,-156,120,637,440,197,1627,1606,21,338
2009-2010,5933,Thompson-Nicola,323,104,56,51,142,366,1460,1456,4,3991,4184,-193,177
2009-2010,5935,Central Okanagan,641,249,183,124,166,617,3674,2439,1235,5276,4227,1049,2901
2009-2010,5937,North Okanagan,155,117,58,58,16,54,1158,952,206,2389,2637,-248,12
2009-2010,5939,Columbia-Shuswap,114,44,31,22,38,117,958,709,249,1691,1795,-104,262
2009-2010,5941,Cariboo,95,22,25,11,-10,77,486,586,-100,1953,2517,-564,-587
2009-2010,5943,Mount Waddington,8,3,2,1,5,11,69,103,-34,492,552,-60,-83
2009-2010,5945,Central Coast,1,0,2,0,0,3,28,15,13,152,165,-13,3
2009-2010,5947,Skeena-Queen Charlotte,56,17,7,7,3,42,137,185,-48,563,785,-222,-228
2009-2010,5949,Kitimat-Stikine,57,28,10,15,4,28,328,417,-89,1029,1394,-365,-426
2009-2010,5951,Bulkley-Nechako,59,32,9,17,-12,7,301,378,-77,1114,1482,-368,-438
2009-2010,5953,Fraser-Fort George,206,68,24,35,82,209,895,1329,-434,2802,3338,-536,-761
2009-2010,5955,Peace River,130,68,14,33,33,76,1116,1408,-292,1421,1656,-235,-451
2009-2010,5957,Stikine,1,0,0,0,-4,-3,29,19,10,28,27,1,8
2009-2010,5959,Northern Rockies,11,4,4,2,23,32,170,209,-39,265,261,4,-3
2010-2011,5900,British Columbia,38947,11809,5334,5797,399,27074,47854,44433,3421,81283,81283,0,30495
2010-2011,5901,East Kootenay,143,84,32,41,-92,-42,1134,1233,-99,1032,1152,-120,-261
2010-2011,5903,Central Kootenay,114,91,28,44,-36,-29,1027,845,182,1474,1569,-95,58
2010-2011,5905,Kootenay Boundary,32,46,10,22,-9,-35,351,353,-2,886,963,-77,-114
2010-2011,5907,Okanagan-Similkameen,189,124,54,60,-57,2,1281,1035,246,2693,2498,195,443
