Longitude,Latitude
-122.85036,49.24028
-122.852858,49.240678
-122.858388,49.239561
-122.862739,49.238739
-122.865946,49.238045
-122.873716,49.2362
-122.876297,49.23534
-122.882555,49.233144
-122.89034,49.2615
-122.875056,49.23556
-122.86806,49.237475
-122.864276,49.238227
-122.861784,49.238771
-122.859381,49.239205
-122.856887,49.239824
-122.854426,49.240478
-122.851939,49.240566
-122.849021,49.239676
-122.845947,49.238246
-122.843829,49.237705
-122.843079,49.235511
-122.841625,49.232707
-122.836795,49.231173
-122.835451,49.232684
-122.834019,49.236166
-122.834041,49.237956
-122.834106,49.240512
-122.834133,49.243094
-122.834153,49.2446
-122.834152,49.247124
-122.835452,49.249448
-122.835415,49.251148
-122.835338,49.254023
-122.835917,49.256072
-122.83835,49.256088
-122.841436,49.256116
-122.844171,49.25613
-122.852145,49.25422
-122.852096,49.256567
-122.852034,49.258358
-122.851997,49.260033
-122.851978,49.261892
-122.853889,49.263528
-122.85817,49.263557
-122.863597,49.263585
-122.869222,49.263645
-122.874696,49.263652
-122.877786,49.263666
-122.881102,49.263622
-122.888641,49.26281
-122.893156,49.255871
-122.893163,49.252378
-122.893017,49.250209
-122.884979,49.263416
-123.007012,49.228004
-123.005881,49.229038
-123.003237,49.232392
-123.003265,49.235911
-123.003261,49.237319
-123.003285,49.238854
-123.003293,49.240536
-123.003169,49.243311
-123.003889,49.24763
-123.004148,49.251498
-123.004112,49.254143
-123.003136,49.261653
-123.003061,49.263415
-123.002999,49.265789
-123.003116,49.271387
-123.003095,49.2741
-123.003113,49.275944
-123.003061,49.278616
-123.009657,49.281127
-123.014877,49.281146
-123.01911,49.281178
-123.021844,49.281222
-123.028984,49.281215
-123.031278,49.283253
-122.895345,49.247838
-122.799011,49.274659
-123.034312,49.262009
-123.044962,49.262097
-123.051889,49.262111
-123.057336,49.26234
-122.895291,49.24772
-122.889806,49.261654
-122.883136,49.232855
-122.892696,49.250068
-122.89277,49.253128
-122.892801,49.255306
-122.885809,49.263232
-122.883104,49.263392
-122.88058,49.263526
-122.876334,49.263529
-122.873834,49.263514
-122.867656,49.263455
-122.862462,49.263445
-122.857006,49.263413
-122.852129,49.263032
-122.85217,49.261199
-122.85218,49.25949
-122.852233,49.257311
-122.852294,49.255668
-123.023387,49.266046
-123.06899,49.262218
-123.003298,49.226276
-123.003374,49.267569
-122.84411,49.256009
-122.840388,49.255992
-122.83751,49.255983
-122.83546,49.255771
-122.835512,49.253517
-122.835593,49.250624
-122.834364,49.248046
-122.834334,49.245996
-122.83431,49.244091
-122.834281,49.241223
-122.834253,49.23882
-122.834185,49.235499
-122.835743,49.232574
-122.837596,49.230888
-122.841286,49.232519
-122.79891,49.267585
-122.799255,49.262709
-122.800698,49.261071
-122.803291,49.258307
-122.805096,49.255477
-122.80584,49.25432
