TypeOfWork,IssueYear,geo_point_2d,PostalCode
Demolition / Deconstruction,2019,"49.247665, -123.0425639",V5R 1J2
Addition / Alteration,2019,"49.2877017, -123.1186181",V6E 2E9
Temporary Building / Structure,2019,"49.2884003, -123.1179297",V6C 1C7
Addition / Alteration,2019,"49.287517, -123.1172287",V6C 0C5
Demolition / Deconstruction,2019,"49.2484513, -123.0873545",V5V 4J4
Addition / Alteration,2019,"49.257495, -123.0836823",V5T 4A7
Addition / Alteration,2019,"49.2544609, -123.0904111",V5V 4C3
New Building,2019,"49.2626721, -123.0373071",V5M 1X6
Addition / Alteration,2019,"49.2789655, -123.1012831",V6A 4E9
Addition / Alteration,2019,"49.2616613, -123.2039904",V6R 2R1
Addition / Alteration,2019,"49.2325492, -123.1752674",V6N 3J5
Addition / Alteration,2019,"49.2869728, -123.1309522",V6E 1G2
Addition / Alteration,2019,"49.2633058, -123.1402601",V6J 5K8
Addition / Alteration,2019,"49.229354, -123.0896646",V5W 3B8
Temporary Building / Structure,2019,"49.2620555, -123.1601048",V6K 4K9
Addition / Alteration,2019,"49.2802457, -123.1083769",V6B 6B8
Addition / Alteration,2019,"49.2810797, -123.125105",V6Z 2R4
Addition / Alteration,2019,"49.2863886, -123.1156208",V6C 1C8
New Building,2019,"49.260166, -123.1609485",V6K 2S8
Addition / Alteration,2019,"49.2877727, -123.1234392",V6E 4T8
Addition / Alteration,2019,"49.2160078, -123.1112377",V5X 4T4
New Building,2019,"49.2309302, -123.0552524",V5R 3K4
Addition / Alteration,2020,"49.2445813, -123.0964959",V5V 3Y8
Addition / Alteration,2020,"49.2806214, -123.0982111",V6A 1T8
New Building,2020,"49.2707364, -123.0413844",V5K 3H7
Demolition / Deconstruction,2019,"49.2710854, -123.0412492",V5K 3H7
Salvage and Abatement,2019,"49.2819643, -123.104614",V6B 2J4
Addition / Alteration,2019,"49.2853584, -123.1288393",V6E 4J9
New Building,2020,"49.2647212, -123.0452455",V5M 1R8
Addition / Alteration,2019,"49.2208837, -123.1448079",V6P 5G3
Addition / Alteration,2019,"49.2863367, -123.1148555",V6C 1B4
Addition / Alteration,2019,"49.2865896, -123.1209561",V7X 1J1
Addition / Alteration,2019,"49.2675485, -123.1535587",V6K 1S1
New Building,2019,"49.2248721, -123.0645649",V5P 1T7
Addition / Alteration,2019,"49.2248306, -123.0538696",N/A
Demolition / Deconstruction,2020,"49.2101345, -123.1297846",V6P 4B1
Salvage and Abatement,2019,"49.2100446, -123.1297902",V6P 4B1
Demolition / Deconstruction,2019,"49.216966, -123.0541125",V5S 2C1
Addition / Alteration,2019,"49.2776685, -123.0639578",V5L 4J4
Addition / Alteration,2019,"49.283905, -123.1167355",N/A
Addition / Alteration,2022,"49.2854092, -123.1219503",V6P 3P3
New Building,2019,"49.2229223, -123.0896696",V5X 1H1
New Building,2019,"49.2542201, -123.0368853",V5M 2R6
Demolition / Deconstruction,2019,"49.2542201, -123.0368853",V5M 2R6
Salvage and Abatement,2019,"49.2512461, -123.1061873",V5Y 2E9
New Building,2020,"49.2510261, -123.1061323",V5Y 2E9
Salvage and Abatement,2019,"49.2658768, -123.1069507",V5Y 1K3
Addition / Alteration,2019,"49.2797361, -123.118963",V6B 3B4
New Building,2019,"49.272734, -123.065342",V5L 4G8
New Building,2019,"49.2409258, -123.05309",V5R 2A3
Addition / Alteration,2019,"49.2459284, -123.0986913",V5V 3V7
Addition / Alteration,2019,"49.2605077, -123.1403776",V6J 2E1
New Building,2019,"49.2346933, -123.0455185",V5R 3W2
New Building,2019,"49.2368779, -123.1668762",V6N 2Z3
Addition / Alteration,2019,"49.2865933, -123.1227839",V6E 4A6
Addition / Alteration,2019,"49.2016684, -123.1372909",V6P 4N5
New Building,2019,"49.2729488, -123.2122479",V6R 1E1
Addition / Alteration,2019,"49.2806382, -123.0328883",V5K 5J3
Addition / Alteration,2019,"49.2830059, -123.065072",N/A
Addition / Alteration,2019,"49.2835138, -123.1066206",N/A
Temporary Building / Structure,2019,"49.2448407, -123.1267045",V6H 3N1
Addition / Alteration,2019,"49.2837242, -123.1347953",V6E 1L9
Addition / Alteration,2019,"49.2901348, -123.1279249",V6G 3J6
Addition / Alteration,2019,"49.248752, -123.1848556",V6S 2E9
Demolition / Deconstruction,2019,"49.2904083, -123.0472328",V5K 1C3
Addition / Alteration,2019,"49.2842224, -123.1095582",V6B 1B6
New Building,2019,"49.2272379, -123.1590329",V6M 2T8
Addition / Alteration,2019,"49.2890587, -123.1301359",V6G 2C1
Addition / Alteration,2019,"49.2873713, -123.1188596",V6E 4M1
Addition / Alteration,2019,"49.2659504, -123.0696302",V5N 4B2
Demolition / Deconstruction,2019,"49.2647153, -123.1894506",V6R 2C2
Addition / Alteration,2019,"49.2473453, -123.1741197",V6L 1X4
New Building,2019,"49.2519776, -123.186181",V6S 1K6
Addition / Alteration,2019,"49.234455, -123.1837319",N/A
Addition / Alteration,2019,"49.2881144, -123.1261258",V6E 3J7
Salvage and Abatement,2019,"49.229805, -123.1712613",V6N 1H8
New Building,2019,"49.2665807, -123.0629834",V5N 1K4
Addition / Alteration,2019,"49.2855547, -123.125721",N/A
Addition / Alteration,2019,"49.2843639, -123.1251651",N/A
Addition / Alteration,2019,"49.2845565, -123.1183473",V6C 3K4
Addition / Alteration,2019,"49.2900142, -123.0555606",V5K 1C9
Addition / Alteration,2019,"49.2849763, -123.1324227",V6E 3T1
Demolition / Deconstruction,2019,"49.2381269, -123.0406452",V5R 2K1
Addition / Alteration,2019,"49.2638924, -123.1166086",V5Z 1C5
Salvage and Abatement,2019,"49.2754046, -123.05756",V5L 2M1
Addition / Alteration,2022,"49.2746571, -123.1498796",V6J 3R8
Temporary Building / Structure,2019,"49.2895962, -123.1161647",V6C 0C3
Salvage and Abatement,2019,"49.2386593, -123.0876669",V5W 3C6
Addition / Alteration,2019,"49.273787, -123.1198134",V6Z 2Y3
Salvage and Abatement,2019,"49.2700708, -123.066115",V5L 4H4
Addition / Alteration,2019,"49.287517, -123.1172287",V6C 0C5
Addition / Alteration,2019,"49.2833965, -123.117746",N/A
Addition / Alteration,2019,"49.2407229, -123.136475",V6M 4H2
New Building,2019,"49.2391242, -123.0455275",V5R 3T4
Salvage and Abatement,2019,"49.2127219, -123.1079565",V5X 2P9
Addition / Alteration,2019,"49.2575414, -123.0473573",N/A
Addition / Alteration,2019,"49.2574, -123.0470697",N/A
Salvage and Abatement,2019,"49.2639309, -123.2115847",N/A
Addition / Alteration,2019,"49.2111861, -123.0795521",N/A
Addition / Alteration,2019,"49.2528453, -123.1252337",V5Z 1Z2
Demolition / Deconstruction,2019,"49.2513119, -123.0928884",V5V 1V2
Addition / Alteration,2019,"49.26575, -123.137664",V6H 4H6
Addition / Alteration,2019,"49.2049712, -123.1260013",V1V 1V1
Addition / Alteration,2019,"49.2365631, -123.1230019",V5Z 3M6
Addition / Alteration,2020,,N/A
Addition / Alteration,2019,"49.2750985, -123.0684903",V5L 2N1
Addition / Alteration,2019,"49.2866494, -123.125227",V6E 4A2
Addition / Alteration,2019,"49.2264218, -123.1012006",V5W 2V4
Addition / Alteration,2019,"49.2783623, -123.1350304",V6E 1T4
New Building,2020,"49.2378716, -123.0805215",V5W 3N9
Demolition / Deconstruction,2020,"49.2592345, -123.1885876",V6R 3A1
New Building,2019,"49.2485012, -123.0779575",V5V 2G4
New Building,2019,"49.274895, -123.2211788",V6T 1A9
Addition / Alteration,2019,"49.2609394, -123.1163251",V5Z 3X7
New Building,2019,"49.2468562, -123.1087545",V5Y 2L4
Addition / Alteration,2019,"49.2693196, -123.1092248",V5Y 1B8
New Building,2020,"49.2239603, -123.1299237",V6P 1H4
New Building,2019,"49.2434661, -123.0369403",V5R 3Y5
Addition / Alteration,2019,"49.2630118, -123.1210731",V5Z 1G8
Demolition / Deconstruction,2019,"49.2381681, -123.1635297",V6N 2T2
New Building,2020,"49.2291503, -123.1169543",V5Z 3B2
New Building,2020,,V5L 2J5
New Building,2020,,V5Y 2N4
New Building,2020,"49.2364703, -123.1078652",V5Y 2N4
Addition / Alteration,2019,"49.2113215, -123.1128831",N/A
Addition / Alteration,2019,"49.2810386, -123.1050291",V6B 6E3
New Building,2019,"49.2118309, -123.0885807",V5X 3Z9
New Building,2021,"49.2232744, -123.0880306",V5X 4W4
Demolition / Deconstruction,2019,"49.2564235, -123.1229517",V5Z 1V3
New Building,2019,"49.240026, -123.1541987",V6M 1H9
Salvage and Abatement,2019,"49.2398081, -123.1539829",V6M 1H9
Demolition / Deconstruction,2019,"49.2851068, -123.026046",V5K 3P8
Addition / Alteration,2019,"49.2648164, -123.0983205",V5T 1M9
New Building,2019,"49.2587811, -123.0883611",V5T 2L3
Addition / Alteration,2019,"49.2831222, -123.1165811",V6C 3T3
Addition / Alteration,2019,"49.2684532, -123.2022758",V6R 4L2
Addition / Alteration,2019,"49.2316124, -123.0719366",V5P 3J8
New Building,2020,"49.2583081, -123.1872564",V6R 3C5
Addition / Alteration,2019,"49.2825804, -123.1017306",N/A
Addition / Alteration,2019,"49.2280893, -123.1475083",V6M 3P5
Addition / Alteration,2019,"49.274307, -123.12716",V6B 3G7
Addition / Alteration,2019,"49.2806136, -123.1289132",V6Z 1Y6
Addition / Alteration,2020,"49.2779438, -123.1088639",V6B 0N8
Salvage and Abatement,2019,"49.2549653, -123.1930902",V6S 1G3
Addition / Alteration,2019,"49.284808, -123.1156241",V6C 1G8
Addition / Alteration,2019,"49.2818014, -123.1180513",V6B 4N9
Addition / Alteration,2019,"49.269353, -123.0705297",V5N 1A7
Demolition / Deconstruction,2019,"49.272281, -123.1818474",V6R 1A7
Addition / Alteration,2019,"49.2616374, -123.1510778",V6J 2C9
Addition / Alteration,2019,"49.2825956, -123.1029665",V6A 0A5
Salvage and Abatement,2019,"49.2280898, -123.041889",V5S 3A2
