YEAR,TYPE,POSTAL_CODE,Cordinates
2015,Studio/Rehearsal,V6H 3R7,"49.270336, -123.13523"
2015,Museum/Gallery,V5T 1A6,"49.2687198, -123.0980394"
2015,Theatre/Performance,V6B 2R5,"49.279079, -123.114496"
2015,Museum/Gallery,V6A 1Z6,"49.278676, -123.098671"
2015,Community Space,"ver, BC","49.293772, -123.148518"
2015,Community Space,V5S 4C6,"49.2144480624969, -123.032066348148"
2015,Theatre/Performance,V6T 1Z1,"49.269509, -123.255184"
2015,Theatre/Performance,V6A 3Y4,"49.2821671, -123.0953265"
2015,Community Space,V6A 3V6,"49.280315, -123.1032"
2015,Museum/Gallery,V6A 4H5,"49.279894, -123.102448"
2015,Educational,V6R 1Z1,"49.2652165, -123.1857634"
2015,Studio/Rehearsal,V6Z 2L7,"49.278543, -123.126284"
2015,Studio/Rehearsal,V5Y 1N9,"49.2636714, -123.1134394"
2015,Studio/Rehearsal,V5Y 3Z5,"49.2641907, -123.1138"
2015,Community Space,V6G 3H4,"49.2901651976341, -123.125885091572"
2015,Museum/Gallery,V6B 1B6,"49.2843539, -123.109198"
2015,Community Space,V5Y 0B1,"49.2717878, -123.1057142"
2015,Community Space,V6A 3V6,"49.280254, -123.103387"
2015,Studio/Rehearsal,V5Y 1L8,"49.2647531, -123.1078497"
2015,Theatre/Performance,V6B 1H4,"49.282364, -123.108528"
2015,Community Space,V5Z 1Z8,"49.2529172469768, -123.121277422182"
2015,Museum/Gallery,V6B 5K2,"49.279649, -123.103913"
2015,Studio/Rehearsal,V6A 1M4,"49.2817549, -123.0854969"
2015,Studio/Rehearsal,V6A 1M4,"49.281749, -123.085078"
2015,Studio/Rehearsal,V5T 1S1,"49.263935, -123.098697"
2015,Museum/Gallery,V5T 1E1,"49.267609, -123.09226"
2015,Studio/Rehearsal,V5M 4C1,"49.2551, -123.03"
2015,Museum/Gallery,V6H 4B7,"49.269582, -123.13225"
2015,Theatre/Performance,V6B 1H4,"49.282402, -123.10859"
2015,Museum/Gallery,V5Y 1P1,"49.2630895, -123.1058083"
2015,Theatre/Performance,V6A 1T5,"49.2806621, -123.1008605"
2015,Museum/Gallery,V6A 1K2,"49.2821, -123.102645"
2015,Museum/Gallery,V6H 3R7,"49.270046, -123.134283"
2015,Museum/Gallery,V6N 1N4,"49.2813343, -123.101858"
2015,Educational,V5T 3C9,"49.263875, -123.101297"
2015,Educational,V6B 1H4,"49.28243, -123.108696"
2015,Museum/Gallery,V6H 3G5,"49.2638926, -123.1386339"
2015,Museum/Gallery,V6H 3S6,"49.270213, -123.134769"
2015,Community Space,"ver, BC","49.281457, -123.11966"
2015,Studio/Rehearsal,V5R 0B6,"49.23408, -123.038603"
2015,Museum/Gallery,V5T 4R8,"49.26676, -123.09715"
2015,Museum/Gallery,V6B 2W6,"49.2784569, -123.1184779"
2015,Theatre/Performance,V5L 3X4,"49.2737114, -123.0694828"
2015,Community Space,V6B 3A3,"49.2818067, -123.1152408"
2015,Community Space,V5M 3E4,"49.256761, -123.049576"
2015,Theatre/Performance,V6H 3S4,"49.270764, -123.136248"
2015,Museum/Gallery,V6A 1M9,"49.2815282, -123.1043161"
2015,Community Space,"ver, BC","49.289387, -123.118259"
2015,Museum/Gallery,V6A 2R9,"49.2810853, -123.1023067"
2015,Community Space,V6R 1B5,"49.2711948, -123.1912389"
2015,Community Space,V5Z 2N7,"49.233444, -123.125991"
2015,Educational,V5W 1P3,"49.2319794, -123.0926825"
2015,Museum/Gallery,V6A 4J1,"49.2810651, -123.1017894"
