Coordinates,Count
"49.2816068939298, -123.075308927745",5
"49.2630974512838, -123.082010438448",1
"49.2617786317974, -123.100614909663",18
"49.2618613905616, -123.10061164188",18
"49.2632133038741, -123.134718376304",5
"49.2850764756165, -123.141204887085",1
"49.2852021671804, -123.141401866205",1
"49.2613621377264, -123.099333823264",1
"49.2041736519663, -123.130107048475",2
"49.2667174708239, -123.104073474216",3
"49.2629516230303, -123.117971450485",2
"49.2629523041285, -123.118185178163",2
"49.2836895778172, -123.092104175302",2
"49.2792082729912, -123.118653603573",1
"49.2844880656966, -123.108225284992",4
"49.2551915892206, -123.085821034156",8
"49.2809443461651, -123.098635917126",13
"49.2809460559638, -123.098740402526",13
"49.2809504747899, -123.098832532601",13
"49.2833943072338, -123.097289840586",2
"49.2635531322208, -123.074098506824",1
"49.2420755387246, -123.181699269409",1
"49.281261288148, -123.080875598286",7
"49.2776933713133, -123.114775673159",1
"49.2791877019706, -123.098501757587",3
"49.2798127371901, -123.099273627072",1
"49.2328798261648, -123.068937640378",2
"49.251024712975, -123.078287617007",3
"49.2645862025659, -123.184479662511",8
"49.2825039093966, -123.097184621122",2
"49.2584939829378, -123.069481971897",3
"49.2329602307277, -123.075998980914",3
"49.2678731357839, -123.153091121372",5
"49.2678743456837, -123.153196280569",5
"49.2818013587582, -123.087694973513",15
"49.2827019639466, -123.100052873986",9
"49.2859087403969, -123.126254345021",2
"49.2479404980084, -123.100724052549",2
"49.261448903555, -123.139455852923",1
"49.2614527704692, -123.139605673703",1
"49.2188621283758, -123.101504933703",3
"49.2816290804535, -123.109090039992",15
"49.2326616128164, -123.036253589174",1
"49.2330863073188, -123.035844686345",1
"49.2817678504989, -123.133782291298",3
"49.2762256851536, -123.076858273637",4
"49.2833887467411, -123.097483706318",4
"49.2806352486261, -123.077599300162",1
"49.2794268079257, -123.131282079255",1
"49.2647456152755, -123.070109202788",1
"49.2810814509183, -123.106049619997",11
"49.2186939497697, -123.090558517775",4
"49.2689753561771, -123.136150189406",1
"49.2593476409494, -123.077963228333",6
"49.2639290266157, -123.141688674637",1
"49.279314454021, -123.028080262799",1
"49.278650527149, -123.122540220762",1
"49.2786964753448, -123.122471590522",1
"49.2643659571041, -123.170580074148",2
"49.2839805785502, -123.111262877073",2
"49.2668851341514, -123.146105497313",1
"49.2662134404944, -123.104305356489",1
"49.2810897200845, -123.10272097118",11
"49.2298751642639, -123.091040704592",7
"49.2846636326942, -123.124359251932",2
"49.2123293981897, -123.091453811904",4
"49.2804759029582, -123.105412264749",1
"49.2838281190173, -123.099098163196",9
"49.2612970257784, -123.101625033933",7
"49.2458926405434, -123.100861502097",1
"49.2360391438527, -123.025667194163",2
"49.2579640861844, -123.166282448254",1
"49.281993059998, -123.076658405483",3
"49.2819469709986, -123.095667180315",2
"49.2602551552415, -123.070314810532",6
"49.2304666125209, -123.091016518209",4
"49.2592193824568, -123.142284478261",2
"49.2592222682385, -123.142497509364",2
"49.2629451588082, -123.138197271311",4
"49.2693538178174, -123.07247433569",1
"49.2587016070672, -123.038280410975",1
"49.2452443682477, -123.066018715987",4
"49.2453450014917, -123.066232500155",4
"49.2580238077824, -123.16895316229",2
"49.2444123690995, -123.064333856643",1
"49.2641151238236, -123.152543518011",11
"49.2319875112261, -123.024342168386",1
"49.2578018581019, -123.164629992893",1
"49.2632019135257, -123.094646391553",1
"49.2828134918299, -123.112561836193",3
"49.264779760098, -123.140219040078",1
"49.2677303885357, -123.097510434038",11
"49.2568357722065, -123.09972186349",1
"49.2775722349354, -123.079533376929",2
"49.2683098442071, -123.147608986759",3
"49.283167280664, -123.110012473242",7
"49.2809647099481, -123.119828459045",7
