Bikeway_Type,Year of Construction,Geom
Protected Bike Lanes,2009.0,"[-123.13968758315909, 49.27457679635179], [-123.13969165226464, 49.27458207880545], [-123.13980622238901, 49.27473084392122]"
Protected Bike Lanes,2009.0,"[-123.13980622238901, 49.27473084392122], [-123.13982209980858, 49.27488265902108]"
Protected Bike Lanes,1986.0,"[-123.0598049984814, 49.2535537321169], [-123.06019520493486, 49.25370434872916], [-123.06015859463062, 49.25761298382672], [-123.06015864276263, 49.25761300988778]"
Painted Lanes,1997.0,"[-123.15853579833389, 49.21957957179578], [-123.15855806724916, 49.21965225365754], [-123.1585608387771, 49.21966609088673], [-123.15856394159432, 49.21968175010428], [-123.15856509058005, 49.219688486889424], [-123.1585667026417, 49.21969703198917], [-123.15856728237434, 49.21970053575346], [-123.15856728797377, 49.21970056902829], [-123.15856808774593, 49.21970503138711], [-123.15857039681464, 49.21971896819879], [-123.15857097431984, 49.21972220480635], [-123.15857224746978, 49.2197308367259], [-123.15857352582528, 49.21973937868548], [-123.15857353145351, 49.21973942095558], [-123.15857468155713, 49.21974779397996], [-123.15857468716808, 49.21974783085291], [-123.15857595260609, 49.219757056471266], [-123.15857595684093, 49.21975709244656], [-123.15857711464044, 49.21976572452435], [-123.15857816142989, 49.21977399694338], [-123.15857816567623, 49.21977403651678], [-123.15857932261804, 49.219783258685894], [-123.15858036520463, 49.21979193409908], [-123.15858037084726, 49.21979198086678], [-123.15858130041688, 49.219800527802676], [-123.15858222575771, 49.21980904056226], [-123.15858222858768, 49.21980906664468], [-123.15858294254171, 49.21981760847935], [-123.1585837800849, 49.21982614924481], [-123.15858451545509, 49.21983537559065], [-123.1585857056375, 49.21985026473861], [-123.15858588444218, 49.219852498919984], [-123.15858659383666, 49.21986176128254], [-123.15858706271919, 49.219869675583205], [-123.15858706419317, 49.21986970706464], [-123.15858744087178, 49.21987884754818], [-123.15858803287097, 49.21988747140716], [-123.15858831171893, 49.21989607950455], [-123.15858955967609, 49.219935890887754], [-123.15858967300773, 49.2199395509104], [-123.15858970063293, 49.21994818453939], [-123.15858973027292, 49.21995744783501], [-123.15858975761036, 49.21996599151161], [-123.15858967119033, 49.21997417553328], [-123.15858957130015, 49.21997814978379], [-123.15858856608394, 49.2200180650069], [-123.15858319556246, 49.22014819625578], [-123.15857942312773, 49.220239586249505], [-123.15855948926651, 49.220707592859505], [-123.15855640830634, 49.22077991640746], [-123.15853341210227, 49.221320208704185], [-123.15853329243585, 49.22132530109356], [-123.15853318469526, 49.22132982856327], [-123.15853313606868, 49.22133308761809], [-123.15853300516243, 49.22133981806242], [-123.15853303738288, 49.221349890926994], [-123.15853328910366, 49.22136032240177], [-123.15853329060066, 49.2213603610794], [-123.15853377391258, 49.221370208443005], [-123.15853425963674, 49.22138038053267], [-123.158535081562, 49.22139090207712], [-123.15853601847898, 49.22140088014914], [-123.15853633160006, 49.22140388863881], [-123.15853708347375, 49.22141140046039], [-123.15853952241753, 49.22142856549445], [-123.15853986507221, 49.2214313616551], [-123.15854129300897, 49.221439428456726], [-123.15854169456335, 49.22144174778695], [-123.15854170294693, 49.221441792751804], [-123.15854355419347, 49.22145168141507], [-123.15854551151476, 49.22146167337835], [-123.1585478094029, 49.221472091250156], [-123.15855021567019, 49.22148204481699], [-123.1585502226201, 49.22148207089373], [-123.15855263132413, 49.221491927308186], [-123.1585526341743, 49.22149195968725], [-123.15855550447056, 49.22150229671524], [-123.15855655951694, 49.221505842103845], [-123.15855846947083, 49.221512187447516], [-123.15855976310615, 49.22151647731736], [-123.15856155921082, 49.22152243512089], [-123.15856370330488, 49.221528563356934], [-123.1585649688686, 49.221532234390324], [-123.15856682107548, 49.22153769917571], [-123.15856830327884, 49.22154212191665], [-123.15856954960324, 49.221545359404175], [-123.15856956068167, 49.22154538817384], [-123.15857561423323, 49.22156171798099], [-123.15857792542647, 49.221567277485995], [-123.15858839239738, 49.22159164840618], [-123.15859751329648, 49.22161079132086], [-123.15859990735294, 49.22161563648683], [-123.15861266744085, 49.221639909805795], [-123.15861791479544, 49.2216493440406], [-123.15861794241387, 49.22164939167762], [-123.1586235735238, 49.22165901428594], [-123.15862359561739, 49.22165905203577], [-123.15862915812814, 49.221668265453005], [-123.15862918160082, 49.22166830499997], [-123.15863495893475, 49.22167770162553], [-123.15863498378071, 49.22167774117061], [-123.15864112848595, 49.22168735587652], [-123.15864727312714, 49.221696520818426], [-123.15865364522803, 49.22170595530584], [-123.15866056297843, 49.2217155293697], [-123.15866059056526, 49.221715567111964], [-123.15866695184528, 49.22172419383784], [-123.1586737762768, 49.22173335784455], [-123.15869823655932, 49.22176393875914], [-123.15870265347267, 49.221769202122594], [-123.15871059471789, 49.22177846174167], [-123.15871655168333, 49.22178519191689], [-123.15871845785445, 49.2217873445655], [-123.1587185005822, 49.22178739308128], [-123.15872642481412, 49.221796055436414], [-123.15872974575528, 49.221799577920116], [-123.15873458789012, 49.2218046823812], [-123.15874288141777, 49.22181330464851], [-123.15875118289708, 49.22182183605198], [-123.15876409953749, 49.22183449354081], [-123.15876866861527, 49.22183881038969], [-123.15877750257982, 49.221847227718925], [-123.15877752875032, 49.221847251970196], [-123.15879162006992, 49.22186006255997]"
Painted Lanes,2008.0,"[-123.1167378288402, 49.23906844675018], [-123.11672835865019, 49.239059981899175], [-123.11665422157765, 49.238993652087416], [-123.11630610400614, 49.23868216671587], [-123.11629055119563, 49.23866797258353], [-123.11627532217632, 49.2386535964192], [-123.11626893317631, 49.23864733046485], [-123.1162604842796, 49.23863904535147], [-123.11625597845871, 49.23863442363112], [-123.1162461569996, 49.23862430936546], [-123.11623619867203, 49.23861382463254], [-123.11623207542313, 49.2386094840775], [-123.11621847135959, 49.23859441723483], [-123.11621844656639, 49.23859438937451], [-123.11621821514704, 49.23859412244852], [-123.11620527084706, 49.23857920336208], [-123.11620037205364, 49.23857337397333], [-123.11619243424663, 49.238563927954104], [-123.11618006690944, 49.2385484083016], [-123.1161800462439, 49.23854838313571], [-123.1161681212008, 49.2385328351518], [-123.11616808674702, 49.23853278841116], [-123.116156526626, 49.23851702417318], [-123.11614538928308, 49.2385011110874], [-123.1161347037188, 49.23848511389054], [-123.11612830888436, 49.23847517067765], [-123.11611457776647, 49.2384527575329], [-123.11610512227485, 49.238436401985574], [-123.11609613775506, 49.23841994611689], [-123.116087596759, 49.2384034016484], [-123.11607953344891, 49.23838669118671], [-123.11607419823015, 49.23837516913979], [-123.1160717915827, 49.23836997140621], [-123.11606461824256, 49.23835315930246], [-123.11605787741968, 49.2383362523136], [-123.11605598486253, 49.238331182695205], [-123.11605150871044, 49.23831926849092], [-123.11604570029807, 49.23830219865018], [-123.11604031905418, 49.23828509689667], [-123.1160354157356, 49.23826793259561], [-123.11603353074265, 49.238260812053085], [-123.1160308446395, 49.23825066991242], [-123.11602683953149, 49.23823340576108], [-123.11602328755659, 49.23821605210147], [-123.11602020129935, 49.238198703371154], [-123.1160154627408, 49.23816389832619], [-123.11601371429056, 49.23814644840485], [-123.11601332809407, 49.23814109662111], [-123.11601243568578, 49.23812900700678], [-123.11601170794567, 49.23811156055789], [-123.11601170647079, 49.238111517382194], [-123.11601133442316, 49.23809402380074], [-123.11601152706939, 49.23807656473365], [-123.11601172614445, 49.23806830239999], [-123.11604550504451, 49.23724784077801]"
Painted Lanes,2008.0,"[-123.11611852817427, 49.235395355063496], [-123.1161547621292, 49.23448221247894], [-123.11615475657341, 49.23448218639828]"
Painted Lanes,2008.0,"[-123.11621246111166, 49.233062246550816], [-123.11623448169935, 49.23253892365946], [-123.11623447199975, 49.23253888768822]"
Painted Lanes,2008.0,"[-123.11658009490795, 49.223881320427424], [-123.11661846572369, 49.222916244913016]"
Protected Bike Lanes,1993.0,"[-123.02830938347789, 49.2879387322369], [-123.02830778990091, 49.28859962001321]"
Painted Lanes,1997.0,"[-123.1716425440595, 49.22743312451224], [-123.17359701455622, 49.22818890062733]"
